iter	Passed	Remaining
237	599	1917
238	600	1913
239	602	1909
240	604	1903
241	605	1897
242	607	1892
243	609	1886
244	610	1881
245	612	1875
246	613	1869
247	615	1867
248	617	1862
249	619	1857
250	620	1852
251	622	1846
252	623	1840
253	624	1833
254	625	1827
255	627	1822
256	629	1818
257	631	1815
258	633	1811
259	634	1805
260	635	1799
261	636	1794
262	638	1788
263	639	1783
264	641	1777
265	642	1773
266	645	1773
267	647	1768
268	648	1762
269	650	1757
270	651	1753
271	653	1749
272	655	1744
273	656	1740
274	659	1737
275	660	1733
276	662	1729
277	664	1725
278	665	1720
279	667	1716
280	668	1711
281	670	1706
282	671	1700
283	674	1700
284	676	1696
285	677	1691
286	678	1686
287	680	1682
288	681	1677
289	683	1672
290	684	1667
291	685	1662
292	688	1660
293	690	1657
294	691	1653
295	693	1649
296	694	1644
297	696	1639
298	697	1635
299	698	1630
300	700	1626
301	702	1623
302	704	1619
303	705	1615
304	707	1611
305	708	1606
306	709	1601
307	710	1597
308	712	1593
309	714	1589
310	716	1587
311	719	1585
312	721	1584
313	723	1581
314	725	1577
315	727	1573
316	728	1569
317	730	1566
318	733	1565
319	735	1562
320	736	1558
321	738	1554
322	739	1550
323	741	1546
324	742	1543
325	744	1539
326	746	1537
327	748	1533
328	750	1530
329	751	1526
330	753	1522
331	754	1518
332	756	1514
333	757	1511
334	760	1509
335	762	1506
336	763	1502
337	764	1498
338	766	1494
339	767	1490
340	769	1487
341	770	1483
342	772	1479
343	775	1479
344	777	1476
345	779	1472
346	780	1469
347	781	1465
348	783	1461
349	785	1457
350	786	1454
351	789	1452
352	791	1450
353	792	1447
354	795	1444
355	796	1441
356	798	1437
357	799	1433
358	800	1429
359	801	1425
360	804	1424
361	806	1421
362	807	1416
363	808	1413
364	810	1409
365	811	1405
366	812	1402
367	814	1398
368	815	1394
369	817	1391
370	819	1388
371	820	1385
372	822	1382
373	823	1379
374	825	1375
375	826	1372
376	828	1368
377	829	1365
378	831	1362
379	833	1360
380	835	1356
381	836	1353
382	838	1350
383	839	1346
384	840	1343
385	842	1339
386	843	1336
387	845	1332
388	846	1330
389	849	1327
390	850	1324
391	851	1321
392	853	1317
393	854	1314
394	856	1311
395	857	1307
396	858	1304
397	861	1302
398	863	1300
399	864	1297
400	866	1294
401	868	1292
402	870	1289
403	871	1285
404	873	1282
405	875	1280
406	877	1278
407	878	1274
408	879	1271
409	881	1268
410	882	1265
411	884	1261
412	885	1258
413	887	1255
414	888	1252
415	890	1250
416	892	1248
417	894	1245
418	895	1242
419	897	1238
420	898	1235
421	899	1232
422	901	1229
423	902	1225
424	904	1224
425	906	1221
426	908	1218
427	909	1215
428	910	1212
429	912	1209
430	913	1206
431	915	1203
432	916	1200
433	917	1197
434	919	1194
435	921	1192
436	923	1189
437	924	1186
438	926	1184
439	928	1181
440	929	1178
441	931	1175
442	933	1173
443	935	1170
444	936	1168
445	938	1165
446	939	1162
447	941	1159
448	942	1156
449	944	1153
450	945	1151
451	948	1149
452	950	1147
453	952	1144
454	953	1142
455	955	1139
456	956	1137
457	958	1134
458	959	1131
459	962	1129
460	965	1128
461	966	1125
462	968	1122
463	969	1119
464	970	1117
465	972	1114
466	973	1111
467	976	1109
468	979	1109
469	981	1106
470	982	1104
471	984	1101
472	986	1098
473	987	1096
474	992	1096
475	994	1095
476	996	1092
477	998	1090
478	1000	1088
479	1001	1085
480	1003	1082
481	1010	1085
482	1012	1084
483	1014	1081
484	1016	1079
485	1019	1078
486	1024	1078
487	1026	1076
488	1028	1074
489	1030	1072
490	1031	1069
491	1033	1067
492	1036	1066
493	1041	1066
494	1043	1064
495	1045	1062
496	1047	1060
497	1054	1062
498	1057	1061
499	1059	1059
500	1062	1058
501	1068	1059
502	1070	1058
503	1074	1057
504	1077	1056
505	1080	1054
506	1083	1053
507	1086	1051
508	1088	1049
509	1093	1050
510	1095	1048
511	1098	1047
512	1102	1046
513	1108	1048
514	1113	1048
515	1117	1048
516	1119	1046
517	1123	1045
518	1125	1042
519	1129	1042
520	1131	1040
521	1133	1038
522	1135	1035
523	1137	1033
524	1139	1030
525	1146	1032
526	1148	1031
527	1154	1032
528	1159	1032
529	1161	1030
530	1164	1028
531	1168	1027
532	1173	1028
533	1175	1025
534	1178	1023
535	1180	1021
536	1181	1019
537	1185	1018
538	1188	1016
539	1190	1013
540	1191	1011
541	1193	1008
542	1195	1005
543	1196	1003
544	1199	1001
545	1202	999
546	1204	997
547	1206	994
548	1208	992
549	1209	989
550	1211	986
551	1215	986
552	1217	984
553	1220	982
554	1222	979
555	1223	977
556	1225	974
557	1226	971
558	1231	971
559	1234	970
560	1236	967
561	1237	964
562	1239	961
563	1240	959
564	1242	956
565	1246	955
566	1248	953
567	1251	951
568	1252	948
569	1254	946
570	1255	943
571	1257	940
572	1261	940
573	1263	937
574	1265	935
575	1267	932
576	1268	930
577	1270	927
578	1272	924
579	1274	923
580	1277	921
581	1279	918
582	1280	916
583	1282	913
584	1284	910
585	1285	908
586	1287	906
587	1291	904
588	1292	901
589	1294	899
590	1296	896
591	1297	894
592	1299	891
593	1303	891
594	1305	888
595	1307	886
596	1308	883
597	1310	880
598	1311	878
599	1313	875
600	1316	874
601	1320	873
602	1323	871
603	1326	869
604	1328	867
605	1330	864
606	1332	862
607	1334	860
608	1336	857
609	1337	855
610	1339	853
611	1342	850
612	1344	849
613	1347	846
614	1348	844
615	1350	841
616	1351	839
617	1353	836
618	1355	834
619	1357	832
620	1361	830
621	1363	828
622	1365	826
623	1368	824
624	1369	821
625	1371	819
626	1374	817
627	1376	815
628	1378	812
629	1381	811
630	1382	808
631	1384	806
632	1385	803
633	1387	800
634	1389	798
635	1390	796
636	1393	794
637	1394	791
638	1396	788
639	1398	786
640	1399	783
641	1401	781
642	1403	779
643	1405	776
644	1406	774
645	1408	771
646	1411	770
647	1413	767
648	1414	765
649	1416	762
650	1418	760
651	1420	758
652	1422	755
653	1425	754
654	1427	751
655	1428	749
656	1430	746
657	1432	744
658	1434	742
659	1436	739
660	1438	737
661	1440	735
662	1441	732
663	1443	730
664	1445	728
665	1447	725
666	1449	723
667	1450	720
668	1452	718
669	1454	716
670	1455	713
671	1457	711
672	1459	708
673	1461	706
674	1463	704
675	1465	702
676	1467	700
677	1469	697
678	1470	695
679	1472	692
680	1473	690
681	1476	688
682	1479	686
683	1480	684
684	1482	681
685	1483	679
686	1485	676
687	1487	674
688	1488	671
689	1491	670
690	1493	667
691	1495	665
692	1497	663
693	1498	660
694	1500	658
695	1502	656
696	1504	653
697	1506	651
698	1508	649
699	1509	647
700	1511	644
701	1513	642
702	1514	639
703	1516	637
704	1517	635
705	1523	634
706	1525	632
707	1526	629
708	1528	627
709	1529	624
710	1530	622
711	1532	619
712	1536	618
713	1537	615
714	1539	613
715	1540	611
716	1541	608
717	1543	606
718	1545	603
719	1546	601
720	1549	599
721	1550	597
722	1552	594
723	1554	592
724	1556	590
725	1557	587
726	1558	585
727	1560	583
728	1561	580
729	1564	578
730	1566	576
731	1567	573
732	1568	571
733	1570	569
734	1571	566
735	1573	564
736	1575	562
737	1576	559
738	1579	557
739	1581	555
740	1583	553
741	1584	550
742	1586	548
743	1588	546
744	1589	544
745	1591	541
746	1593	539
747	1595	537
748	1597	535
749	1598	532
750	1600	530
751	1602	528
752	1603	526
753	1605	523
754	1607	521
755	1609	519
756	1611	517
757	1612	514
758	1614	512
759	1615	510
760	1617	507
761	1618	505
762	1620	503
763	1623	501
764	1626	499
765	1627	497
766	1628	494
767	1630	492
768	1632	490
769	1633	488
770	1637	486
771	1639	484
772	1641	482
773	1643	479
774	1645	477
775	1646	475
776	1648	472
777	1649	470
778	1651	468
779	1653	466
780	1654	464
781	1656	461
782	1657	459
783	1659	457
784	1660	454
785	1662	452
786	1663	450
787	1665	448
788	1666	445
789	1668	443
790	1669	441
791	1670	438
792	1672	436
793	1673	434
794	1674	431
795	1675	429
796	1677	427
797	1678	424
798	1680	422
799	1682	420
800	1683	418
801	1685	416
802	1687	413
803	1688	411
804	1690	409
805	1691	407
806	1692	404
807	1694	402
808	1696	400
809	1698	398
810	1700	396
811	1701	393
812	1703	391
813	1704	389
814	1705	387
815	1708	385
816	1710	383
817	1711	380
818	1712	378
819	1714	376
820	1715	374
821	1716	371
822	1717	369
823	1719	367
824	1720	364
825	1722	362
826	1723	360
827	1725	358
828	1726	356
829	1727	353
830	1729	351
831	1730	349
832	1731	347
833	1733	344
834	1734	342
835	1736	340
836	1737	338
837	1739	336
838	1741	334
839	1742	331
840	1744	329
841	1745	327
842	1747	325
843	1748	323
844	1749	320
845	1751	318
846	1753	316
847	1754	314
848	1756	312
849	1757	310
850	1758	307
851	1759	305
852	1761	303
853	1762	301
854	1763	299
855	1765	296
856	1766	294
857	1768	292
858	1769	290
859	1770	288
860	1772	286
861	1773	283
862	1775	281
863	1776	279
864	1778	277
865	1782	275
866	1784	273
867	1786	271
868	1788	269
869	1789	267
870	1790	265
871	1792	263
872	1794	261
873	1796	258
874	1797	256
875	1799	254
876	1801	252
877	1802	250
878	1803	248
879	1805	246
880	1806	244
881	1807	241
882	1809	239
883	1811	237
884	1813	235
885	1814	233
886	1816	231
887	1817	229
888	1818	227
889	1820	224
890	1821	222
891	1824	220
892	1825	218
893	1827	216
894	1828	214
895	1830	212
896	1832	210
897	1833	208
898	1834	206
899	1839	204
900	1840	202
901	1842	200
902	1844	198
903	1845	196
904	1847	193
905	1848	191
906	1851	189
907	1853	187
908	1855	185
909	1856	183
910	1858	181
911	1859	179
912	1860	177
913	1862	175
914	1863	173
915	1864	171
916	1868	169
917	1870	167
918	1871	164
919	1873	162
920	1874	160
921	1876	158
922	1877	156
923	1879	154
924	1881	152
925	1883	150
926	1884	148
927	1886	146
928	1887	144
929	1888	142
930	1890	140
931	1891	137
932	1892	135
933	1894	133
934	1895	131
935	1897	129
936	1899	127
937	1900	125
938	1902	123
939	1903	121
940	1904	119
941	1906	117
942	1908	115
943	1910	113
944	1911	111
945	1914	109
946	1917	107
947	1918	105
948	1921	103
949	1926	101
950	1927	99
951	1929	97
952	1930	95
953	1931	93
954	1932	91
955	1934	89
956	1935	86
957	1936	84
958	1938	82
959	1940	80
960	1942	78
961	1943	76
962	1944	74
963	1946	72
964	1947	70
965	1949	68
966	1950	66
967	1951	64
968	1952	62
969	1955	60
970	1956	58
971	1957	56
972	1958	54
973	1960	52
974	1961	50
975	1962	48
976	1964	46
977	1965	44
978	1966	42
979	1967	40
980	1970	38
981	1971	36
982	1972	34
983	1974	32
984	1975	30
985	1976	28
986	1978	26
987	1979	24
988	1981	22
989	1982	20
990	1984	18
991	1985	16
992	1987	14
993	1988	12
994	1990	10
995	1991	7
996	1993	5
997	1994	3
998	1995	1
999	1998	0
